"item","protein","carbs","fats"
"MILK,CND,EVAP,WO/ VIT A",6.81,10.04,4.591
"MILK,CND,EVAP,NONFAT",7.55,11.35,0.121
"MILK,CHOC,FLUID,COMM,",3.17,10.34,2.104
"MILK,CHOC,FLUID,COMM,RED FAT",2.99,12.13,1.177
"MILK,CHOC,FLUID,COMM,LOWFAT",3.24,10.44,0.616
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",3.52,10.63,1.431
"MILK,GOAT,FLUID",3.56,4.45,2.667
"MILK,HUMAN,MATURE,FLUID",1.03,6.89,2.009
"MILK,INDIAN BUFFALO,FLUID",3.75,5.18,4.597
"MILK,SHEEP,FLUID",5.98,5.36,4.603
"MILK SHAKES,THICK CHOC",3.05,21.15,1.681
"MILK SHAKES,THICK VANILLA",3.86,17.75,1.886
"WHEY,ACID,FLUID",0.76,5.12,0.057
"WHEY,ACID,DRIED",11.73,73.45,0.342
"WHEY,SWEET,FLUID",0.85,5.14,0.23
"WHEY,SWEET,DRIED",12.93,74.46,0.684
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",3.47,4.66,2.096
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",5.25,7.04,1
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",5.73,7.68,0.116
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",4.93,13.8,0.806
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",3.98,18.64,0.742
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",4.37,19.05,0.697
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",4.86,18.6,0.909
"EGG,WHOLE,RAW,FRESH",12.58,0.77,3.099
"EGG,WHITE,RAW,FRESH",10.9,0.73,0
"EGG,YOLK,RAW,FRSH",15.86,3.59,9.551
"EGG,YOLK,RAW,FROZEN",15.5,1.15,7.82
"EGG,YOLK,RAW,FRZ,SUGARED",13.8,10.8,6.97
"EGG,WHL,CKD,FRIED",13.63,0.88,4.294
